INDEX,pop_daytime_fishnet500,pop_nighttime_fishnet500,ACC_ACD,ACC_COM,ACC_ET,ACC_LS,DEN_FLOOR,DEN_BUILT,DEN_WALK,DEN_DRIVE,DEN_EVI,DEN_MNDWI,DIS_METRO,DIS_BUS,ACC_CBD,DEN_EXCHANGE,DEN_BUS
G500-452,2.879762,4.25,0,0,0,0,0.0,0.0,0.000414,0.000414,0.61288,0.028541,10.041769,0.577073,59.092031,0.0,0
G500-453,7.911111,7.5,0,1,0,0,0.0,0.0,0.001848,5.8e-05,0.382737,0.008858,10.146185,0.156734,59.349481,0.0,2
G500-458,3.146032,2.513333,0,0,0,0,0.0,0.0,0.0,0.004003,0.217924,0.353536,11.476094,0.152545,61.235697,0.0,4
G500-466,5.155556,5.566667,0,1,0,0,0.0,0.0,0.002035,0.001341,0.682504,0.061119,10.094104,1.228819,55.80715,0.0,0
G500-467,6.533333,7.466667,0,0,2,0,0.0,0.0,0.0,0.004655,0.640263,0.0,10.010064,0.805056,56.026162,0.0,0
G500-469,4.183333,4.5,0,3,0,5,0.0,0.0,0.002343,0.002343,0.591941,0.0,9.733817,0.560924,56.474918,0.0,0
G500-471,2.486607,4.066667,0,0,0,0,0.0,0.0,0.0,0.0,0.753441,0.0,9.511209,0.708076,56.937703,0.0,0
G500-473,8.155556,6.113333,0,1,0,0,0.0,0.0,0.0,0.003038,0.436185,0.0,9.390367,0.452682,57.414176,0.0,0
G500-474,2.694048,4.366667,1,0,2,0,0.0,0.0,0.0,0.000199,0.54525,0.000692,9.369469,0.342139,57.65744,0.0,0
G500-478,2.635714,1.625,1,1,0,1,0.0,0.0,0.00603,0.002824,0.68096,0.026677,9.55085,0.848848,58.663034,0.0,0
G500-479,5.420238,6.113333,0,0,0,0,0.0,0.0,0.006108,0.005468,0.471214,0.053663,9.660574,0.474879,58.922359,0.0,0
G500-483,2.628571,2.633333,0,0,0,0,0.0,0.0,0.0,0.002973,0.192345,0.427251,10.79233,0.611318,60.541731,0.0,0
G500-493,2.794444,2.8,0,0,0,0,0.0,0.0,0.0,0.001962,0.805139,0.036364,9.717227,1.893885,55.140082,0.0,0
